idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
23,Natal,Brazil,BR,31,G,10
50,Osorno,Chile,CL,55,M,155
48,,,CL,66,G,1
72,,Poland,PL,73,G,10
16,Florianopolis,Brazil,,17,G,10
31,Fortaleza,Brazil,BR,94,G,100
47,,,CL,51,G,1
83,Istanbul,Turkey,TR,,,
73,Frankfurt,,DE,98,G,10
21,Campo Grande,Brazil,BR,,,
94,Madrid,Spain,ES,,,
27,Boa Vista,Brazil,BR,,,
74,Prague,Czech Republic,CZ,92,G,5
76,Paris,France,FR,94,G,10
60,UBB,Chile,,,,
79,Kyiv,,UA,,,
53,Antofagasta,Chile,CL,54,M,155
88,,,BY,,,
10,Rio de Janeiro,Brazil,BR,17,G,10
98,Vienna,Austria,AT,,,
75,Luxembourg,Luxembourg,LU,76,G,10
4,Joao Passoa,Brazil,BR,23,G,10
73,Frankfurt,Germany,DE,,,
107,Tallinn ,Estonia,EE,108,G,10
91,Budapest ,Hungary,HU,95,G,10
67,,,CL,,,
32,UCT,Chile,CL,45,G,1
6,Belo Horizonte,Brazil,,17,G,10
46,,Chile,CL,57,G,1
18,Porto Velho,Brazil,BR,19,G,3
78,Milan,Italy,IT,84,G,10
5,Brasilia,Brazil,,10,G,10
78,,Italy,,87,G,1
29,Belem,Brazil,BR,30,G,3
45,,Chile,CL,56,G,1
91,,Hungary,,96,G,5
3,Campina Grande,Brazil,BR,4,G,10
81,Sofia,Bulgaria,BG,91,G,10
70,Brussels,Belgium,BE,102,G,5
72,Poznan,Poland,PL,74,G,10
36,UCN,Chile,CL,53,G,4
33,ULAGOS,Chile,CL,50,G,1
7,Aracaju,Brazil,BR,8,G,10
39,UTA,Chile,CL,41,G,7
41,Arica,Chile,CL,54,M,155
6,,Brazil,BR,31,G,10
104,Oslo,Norway,NO,105,G,5
13,Cuiaba,Brazil,BR,21,G,3
37,UNAP Sede Santiago,Chile,CL,68,G,5
44,RC-Nacional,Chile,,58,G,1
12,Goiania,Brazil,BR,13,G,3
73,Frankfurt,Germany,DE,74,G,5
49,RedCLARA,Chile,CL,58,G,1
14,,Brazil,BR,21,G,3
106,Helsinki ,Finland,FI,,,
103,London,United Kingdom,UK,,,
48,,,CL,67,G,1
73,Frankfurt,Germany,DE,86,G,3
108,Riga ,Latvia,LV,,,
56,Temuco,Chile,CL,57,M,205
72,Poznan,Poland,PL,99,G,10
63,AURA,Chile,CL,,,
11,Manaus,Brazil,BR,,,
47,,Chile,CL,62,G,1
66,UMCE,Chile,CL,,,
43,RC-12,,CL,58,G,1
1,Recife,Brazil,BR,3,G,10
35,UFRO,Chile,CL,45,G,3
96,Zagreb ,Croatia,HR,97,G,5
51,La Serena,Chile,CL,52,M,205
46,,,CL,59,G,1
80,,,MD,82,G,1
26,Americas Light,Brazil,BR,,,
38,UNAP,Chile,CL,54,G,6
